,Per Capita GDP,Life Expectancy,Females in Labor Force,Internet Users,Mobile Cellular Subscriptions,High Tech Exports,Women in National Parliament,Electric Power Consumption,Improved Water Source,Primary Education Enrollment 
Russian Federation,15543.69784,70.36585366,48.84956742,67.97,152.8353524,10.00599495,13.6,6539.211202,90.8,96.14569092
Saudi Arabia,24646.02087,74.17763415,15.1652977,60.5,184.2042369,0.702252787,19.9,8741.417641,97,95.97566986
El Salvador,3998.739499,72.49814634,41.95812113,23.1093,141.8179045,4.437309265,26.2,914.9960162,83.7,94.6558075
Slovenia,23144.11672,80.32195122,45.97630641,72.6756,110.2112117,6.21911241,32.2,6833.165611,99.4,97.38535309
Sweden,60283.24522,81.95609756,47.40423472,94.7836,125.5274913,14.05667303,44.7,13870.38991,100,99.42095184
Tunisia,4248.891276,74.04390244,26.91267081,43.8,115.6035799,4.941424348,26.7,1434.620861,92,98.56517792
Turkey,10800.35798,74.90070732,30.6623602,46.25,92.96497103,1.878077317,14.4,2744.844024,99.2,92.90035248
Tanzania,909.3301412,64.29182927,50.20788883,4.4,55.71793149,5.416251192,36,89.47800587,45.5,80.89861298
Ukraine,3986.282966,71.1595122,48.9124847,41,138.0646549,5.894952191,9.4,3600.229503,97.1,98.6481781
Uruguay,16881.384,76.83619512,44.4678234,57.69,154.618466,8.660762954,12.1,2985.062364,91.6,99.20272064
United States,52660.2951,78.84146341,45.7926574,84.2,97.07773939,17.81869687,17.9,12988.25596,98.2,92.77709198
"Venezuela, RB",12265.03114,74.07441463,39.76444155,54.9,101.614434,1.130332031,17,3245.073787,77.9,91.07640839
Vietnam,1907.564382,75.477,48.36721885,43.9,134.9650058,28.2082869,24.4,1305.577683,93.6,97.96511078
Zambia,1839.522481,59.23736585,46.51021868,15.4,71.50463179,2.374582493,11.5,731.4664236,49.1,87.40411377
Zimbabwe,905.5003218,55.633,49.41245781,18.5,96.3498668,3.607210183,31.5,531.7459444,67.6,85.86238861
